instruction,input,output
What is the main point about Argo?,,Argo Script at IMSDb.
Who or what is The Internet Movie Script Database?,,The Internet Movie Script Database (IMSDb) The web's largest movie script resource! Search IMSDb Alphabetical  A B C D E F G H I J K L
Who or what is Futurama Seinfeld?,,Fantasy Film-Noir Horror Musical Mystery Romance Sci-Fi Short Thriller War Western Sponsor TV Transcripts Futurama Seinfeld South Park Stargate SG-1 Lost The 4400 International French scripts Movie Software Rip from DVD Rip
When did the events related to 4400 occur?,,Short Thriller War Western Sponsor TV Transcripts Futurama Seinfeld South Park Stargate SG-1 Lost The 4400 International French scripts Movie Software Rip from DVD Rip Blu-Ray Latest Comments Star Wars: Revenge
Who or what is Rip Blu-Ray Latest?,,Seinfeld South Park Stargate SG-1 Lost The 4400 International French scripts Movie Software Rip from DVD Rip Blu-Ray Latest Comments Star Wars: Revenge of the Sith 1010 Star Wars: The Force Awakens 1010 Batman Begins 910 Collateral
When did the events related to 1010 occur?,,French scripts Movie Software Rip from DVD Rip Blu-Ray Latest Comments Star Wars: Revenge of the Sith 1010 Star Wars: The Force Awakens 1010 Batman Begins 910 Collateral 1010 Jackie Brown 810 Movie Chat Message
Who or what is Jackie Brown?,,Wars: Revenge of the Sith 1010 Star Wars: The Force Awakens 1010 Batman Begins 910 Collateral 1010 Jackie Brown 810 Movie Chat Message Yell !
What is the main point about Internet?,,The Internet Movie Script Database (IMSDb) The web's largest movie script resource! Search IMSDb Alphabetical  A B C D E F G H I J K L M N O P Q R S T U V W X Y Z Genre Action Adventure Animation Comedy Crime Drama Family Fantasy Film-Noir Horror Musical Mystery Romance Sci-Fi Short Thriller War Western Sponsor TV Transcripts Futurama Seinfeld South Park Stargate SG-1 Lost The 4400 International French scripts Movie Software Rip from DVD Rip Blu-Ray Latest Comments Star Wars: Revenge of the Sith 1010 Star Wars: The Force Awakens 1010 Batman Begins 910 Collateral 1010 Jackie Brown 810 Movie Chat Message Yell !
Who or what is Chris Terrio?,,"ALL SCRIPTS ARGO Written by Chris Terrio Based on the May 2007 ""Wired"" magazine article entitled ""The Great Escape"" by Joshuah Bearman; and chapter"
When did the events related to the May 2007 occur?,,"ALL SCRIPTS ARGO Written by Chris Terrio Based on the May 2007 ""Wired"" magazine article entitled ""The Great Escape"" by Joshuah Bearman; and chapter nine of the book"
Who or what is Joshuah Bearman?,,"Written by Chris Terrio Based on the May 2007 ""Wired"" magazine article entitled ""The Great Escape"" by Joshuah Bearman; and chapter nine of the book entitled ""The Master of Disguise"" by Antonio Mendez."
Who or what is Antonio Mendez?,,"Great Escape"" by Joshuah Bearman; and chapter nine of the book entitled ""The Master of Disguise"" by Antonio Mendez."
What is the main point about SCRIPTS?,,"ALL SCRIPTS ARGO Written by Chris Terrio Based on the May 2007 ""Wired"" magazine article entitled ""The Great Escape"" by Joshuah Bearman; and chapter nine of the book entitled ""The Master of Disguise"" by Antonio Mendez."
Who or what is WARNER BROS?,,FADE IN: BEGINNING LOGO The familiar logo WARNER BROS.
What is the main point about LOGO?,,FADE IN: BEGINNING LOGO The familiar logo WARNER BROS.
What is the main point about PRESENTS?,,PRESENTS COMES UP.
Who or what is FIRE?,,"After a beat, it is consumed by FIRE."
What is the main point about beat?,,"After a beat, it is consumed by FIRE."
What is the main point about AMERICAN?,,"It becomes AN AMERICAN FLAG, BURNING in the street."
Who or what is EXT?,,1 EXT.
What is the main point about EXT?,,1 EXT.
Who or what is U.S. EMBASSY?,,U.S. EMBASSY (TEHRAN) - MORNING 1 Effigies of Jimmy Carter and the deposed Shah -- crowds chanting Magbar Carter!
Who or what is Jimmy Carter?,,U.S. EMBASSY (TEHRAN) - MORNING 1 Effigies of Jimmy Carter and the deposed Shah -- crowds chanting Magbar Carter! Magbar Ahmrika! Fists in the air.
Who or what is Magbar Carter?,,U.S. EMBASSY (TEHRAN) - MORNING 1 Effigies of Jimmy Carter and the deposed Shah -- crowds chanting Magbar Carter! Magbar Ahmrika! Fists in the air.
Who or what is Magbar Ahmrika?,,(TEHRAN) - MORNING 1 Effigies of Jimmy Carter and the deposed Shah -- crowds chanting Magbar Carter! Magbar Ahmrika! Fists in the air.
What is the main point about U.S.?,,U.S. EMBASSY (TEHRAN) - MORNING 1 Effigies of Jimmy Carter and the deposed Shah -- crowds chanting Magbar Carter! Magbar Ahmrika! Fists in the air.
Who or what is SUPERIMPOSE?,,"SUPERIMPOSE: TEHRAN - NOVEMBER 4, 1979 YOUNG MEN AND WOMEN -- about 23 men and 13 women, some with flak jackets;"
What is the main point about SUPERIMPOSE?,,"SUPERIMPOSE: TEHRAN - NOVEMBER 4, 1979 YOUNG MEN AND WOMEN -- about 23 men and 13 women, some with flak jackets; about half the young women wear full chador."
Who or what is Ayatollah Khomeini?,,Many wear plastic bibs with photographs of Ayatollah Khomeini.
What is the main point about plastic?,,Many wear plastic bibs with photographs of Ayatollah Khomeini.
Who or what is Iran?,,PASTED TO ROOSEVELT GATE: photographs of STUDENTS who were killed under the deposed Shah of Iran's regime.
What is the main point about ROOSEVELT?,,PASTED TO ROOSEVELT GATE: photographs of STUDENTS who were killed under the deposed Shah of Iran's regime.
Who or what is SHAH?,,Signs in English: U.S.A. RETURN THE SHAH -- JUSTICE FOR MURDER.
What is the main point about Signs?,,Signs in English: U.S.A. RETURN THE SHAH -- JUSTICE FOR MURDER.
What is the main point about POLICE?,,A few IRANIAN POLICE attend -- more as bystanders than peacekeepers.
Who or what is EFFIGY?,,A MAN frantically stabs an EFFIGY of the SHAH.
Who or what is SHAH?,,A MAN frantically stabs an EFFIGY of the SHAH.
What is the main point about MAN?,,A MAN frantically stabs an EFFIGY of the SHAH.
Who or what is IRANIAN?,,An IRANIAN STUDENT films the scene with a Super 8 camera.
Who or what is Super 8?,,An IRANIAN STUDENT films the scene with a Super 8 camera.
What is the main point about IRANIAN?,,An IRANIAN STUDENT films the scene with a Super 8 camera.
Who or what is EXT?,,2 EXT.
What is the main point about EXT?,,2 EXT.
Who or what is EMBASSY?,,EMBASSY GROUNDS - MORNING 2 From INSIDE THE EMBASSY GATES we can hear the noise of the protest.
What is the main point about EMBASSY?,,EMBASSY GROUNDS - MORNING 2 From INSIDE THE EMBASSY GATES we can hear the noise of the protest.
Who or what is CHANCERY?,,"There are three primary buildings on campus: the CHANCERY, the embassy's main building, THE AMBASSADOR'S RESIDENCE, and the CONSULATE."
What is the main point about buildings?,,"There are three primary buildings on campus: the CHANCERY, the embassy's main building, THE AMBASSADOR'S RESIDENCE, and the CONSULATE."
What is the main point about compound?,,We can see that the compound is securitized: sand-filled traps and steel bars on the windows of the consulate.
Who or what is INT?,,3 INT.
What is the main point about INT?,,3 INT.
Who or what is U.S.?,,"U.S. EMBASSY - CONSULATE OFFICE - MORNING 3 Now, we see the POV THROUGH those steel bars."
Who or what is the POV THROUGH?,,"U.S. EMBASSY - CONSULATE OFFICE - MORNING 3 Now, we see the POV THROUGH those steel bars."
What is the main point about U.S.?,,"U.S. EMBASSY - CONSULATE OFFICE - MORNING 3 Now, we see the POV THROUGH those steel bars."
When did the events related to late 40s-50s occur?,,"Standing on a chair looking at the protest outside the gate, is BOB ANDERS, late 40s-50s, a consular officer."
What is the main point about chair?,,"Standing on a chair looking at the protest outside the gate, is BOB ANDERS, late 40s-50s, a consular officer."
When did the events related to today occur?,,(CONTINUED) ARGO - Final 2. 3 CONTINUED: 3 BOB ANDERS Carnival's bigger today.
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 2. 3 CONTINUED: 3 BOB ANDERS Carnival's bigger today.
Who or what is MARK LIJEK?,,"MARK LIJEK, 29, a consular officer, joins Anders at the window."
When did the events related to 29 occur?,,"MARK LIJEK, 29, a consular officer, joins Anders at the window."
What is the main point about MARK?,,"MARK LIJEK, 29, a consular officer, joins Anders at the window."
Who or what is EXT?,,4 EXT.
What is the main point about EXT?,,4 EXT.
Who or what is ROOSEVELT GATE - MORNING 4?,,"ROOSEVELT GATE - MORNING 4 Then, in a famous piece of archive footage, something simple happens."
What is the main point about ROOSEVELT?,,"ROOSEVELT GATE - MORNING 4 Then, in a famous piece of archive footage, something simple happens."
What is the main point about MAN?,,A YOUNG MAN IN A SWEATER climbs the gate and makes it to the other side.
What is the main point about REVERSE?,,"And now, we see the REVERSE of that famous shot."
What is the main point about footage?,,This isn't archive footage anymore.
Who or what is POV?,,"We're looking at the POV of TOM AHERN, 48, the CIA station chief here."
Who or what is TOM AHERN?,,"We're looking at the POV of TOM AHERN, 48, the CIA station chief here."
When did the events related to 48 occur?,,"We're looking at the POV of TOM AHERN, 48, the CIA station chief here."
Who or what is CIA?,,"We're looking at the POV of TOM AHERN, 48, the CIA station chief here."
What is the main point about POV?,,"We're looking at the POV of TOM AHERN, 48, the CIA station chief here."
Who or what is INT?,,5 INT.
What is the main point about INT?,,5 INT.
Who or what is MARINE GUARD POST - MORNING 5?,,"MARINE GUARD POST - MORNING 5 From a pillbox on the embassy campus, SGT."
Who or what is SGT?,,"MARINE GUARD POST - MORNING 5 From a pillbox on the embassy campus, SGT."
What is the main point about MARINE?,,"MARINE GUARD POST - MORNING 5 From a pillbox on the embassy campus, SGT."
Who or what is ROCKY SICKMANN?,,"ROCKY SICKMANN, a young MARINE, can also see the protestors break across the lawn."
What is the main point about ROCKY?,,"ROCKY SICKMANN, a young MARINE, can also see the protestors break across the lawn."
What is the main point about MARINE?,,MARINE SGT.
Who or what is SICKMANN?,,SICKMANN (into his radio) ...
What is the main point about SICKMANN?,,SICKMANN (into his radio) ...
Who or what is EXT?,,Fort Apache is breached -- please advise -- 6 EXT.
What is the main point about Fort?,,Fort Apache is breached -- please advise -- 6 EXT.
Who or what is ROOSEVELT GATE - MORNING?,,ROOSEVELT GATE - MORNING 6 The PROTEST in front of the gate is getting rowdier -- its energy and numbers swelling.
What is the main point about ROOSEVELT?,,ROOSEVELT GATE - MORNING 6 The PROTEST in front of the gate is getting rowdier -- its energy and numbers swelling.
Who or what is STUDENTS?,,"A group of STUDENTS -- these more brisk, organized, all bearded and dressed in flak jackets -- push their way to the front"
What is the main point about group?,,"A group of STUDENTS -- these more brisk, organized, all bearded and dressed in flak jackets -- push their way to the front of the protest -- WOMEN raise a banner."
What is the main point about signal?,,It's a signal.
What is the main point about cue?,,"As if on cue, the IRANIAN POLICE move from the gates."
Who or what is WOMAN?,,A WOMAN removes a large pair of bolt cutters from underneath her chador -- hands them to a BEARDED STUDENT --
Who or what is BEARDED?,,A WOMAN removes a large pair of bolt cutters from underneath her chador -- hands them to a BEARDED STUDENT -- who gets to work on the CHAINS holding the gate CLOSED -- When one YOUNG MAN wearing a green
Who or what is CHAINS?,,"bolt cutters from underneath her chador -- hands them to a BEARDED STUDENT -- who gets to work on the CHAINS holding the gate CLOSED -- When one YOUNG MAN wearing a green military field jacket raises his fist,"
What is the main point about WOMAN?,,"A WOMAN removes a large pair of bolt cutters from underneath her chador -- hands them to a BEARDED STUDENT -- who gets to work on the CHAINS holding the gate CLOSED -- When one YOUNG MAN wearing a green military field jacket raises his fist, we can see that he has a concealed PISTOL in his clothes."
What is the main point about STUDENTS?,,"More STUDENTS climbing the wall -- dropping the 12 feet to the other side, one after another."
Who or what is INT?,,ARGO - Final 3. 7 INT.
What is the main point about ARGO?,,ARGO - Final 3. 7 INT.
Who or what is MARINE GUARD POST - MORNING 7 MARINE SGT?,,MARINE GUARD POST - MORNING 7 MARINE SGT.
What is the main point about MARINE?,,MARINE GUARD POST - MORNING 7 MARINE SGT.
Who or what is EXT?,,SICKMANN THEY'RE COMING OVER THE WALLS -- 8 EXT.
What is the main point about SICKMANN?,,SICKMANN THEY'RE COMING OVER THE WALLS -- 8 EXT.
Who or what is ROOSEVELT GATE - MORNING?,,"ROOSEVELT GATE - MORNING 8 But a moment later no more climbing is required, because the GATE CHAIN IS CUT and protestors FLOOD"
Who or what is the GATE CHAIN?,,"ROOSEVELT GATE - MORNING 8 But a moment later no more climbing is required, because the GATE CHAIN IS CUT and protestors FLOOD through the embassy gates, a human dam breaking -- 9 INT."
Who or what is CUT?,,"ROOSEVELT GATE - MORNING 8 But a moment later no more climbing is required, because the GATE CHAIN IS CUT and protestors FLOOD through the embassy gates, a human dam breaking -- 9 INT."
Who or what is FLOOD?,,"MORNING 8 But a moment later no more climbing is required, because the GATE CHAIN IS CUT and protestors FLOOD through the embassy gates, a human dam breaking -- 9 INT."
What is the main point about ROOSEVELT?,,"ROOSEVELT GATE - MORNING 8 But a moment later no more climbing is required, because the GATE CHAIN IS CUT and protestors FLOOD through the embassy gates, a human dam breaking -- 9 INT."
Who or what is CHANCERY OFFICE - MORNING 9 Mounting?,,"CHANCERY OFFICE - MORNING 9 Mounting chaos in here, the nerve center of the embassy."
What is the main point about CHANCERY?,,"CHANCERY OFFICE - MORNING 9 Mounting chaos in here, the nerve center of the embassy."
What is the main point about phone?,,Everyone on a different phone.
What is the main point about emergency?,,It's like an emergency room where the patient is the whole building.
Who or what is ANN SWIFT?,,"ANN SWIFT, 31, Deputy Political Officer, has the phone by her ear -- trying to hear reports from D.C. ANN SWIFT"
When did the events related to 31 occur?,,"ANN SWIFT, 31, Deputy Political Officer, has the phone by her ear -- trying to hear reports from D.C. ANN SWIFT There"
Who or what is Political Officer?,,"ANN SWIFT, 31, Deputy Political Officer, has the phone by her ear -- trying to hear reports from D.C. ANN SWIFT There are hundreds of people"
Who or what is D.C. ANN SWIFT?,,"ANN SWIFT, 31, Deputy Political Officer, has the phone by her ear -- trying to hear reports from D.C. ANN SWIFT There are hundreds of people out THERE -- (LOOKS OUT) No, thousands..."
What is the main point about ANN?,,"ANN SWIFT, 31, Deputy Political Officer, has the phone by her ear -- trying to hear reports from D.C. ANN SWIFT There are hundreds of people out THERE -- (LOOKS OUT) No, thousands..."
Who or what is Mark Lijek?,,"There are THOUSANDS -- 10 IN THE CONSULATE OFFICE - MORNING 10 Mark Lijek and Bob Anders look out windows, nervous, but not like the Iranian VISA APPLICANTS who are close to"
Who or what is Bob Anders?,,"There are THOUSANDS -- 10 IN THE CONSULATE OFFICE - MORNING 10 Mark Lijek and Bob Anders look out windows, nervous, but not like the Iranian VISA APPLICANTS who are close to panic."
What is the main point about THOUSANDS?,,"There are THOUSANDS -- 10 IN THE CONSULATE OFFICE - MORNING 10 Mark Lijek and Bob Anders look out windows, nervous, but not like the Iranian VISA APPLICANTS who are close to panic."
What is the main point about BOB?,,"BOB ANDERS Are these supposed to be bulletproof? MARK LIJEK Well, they've never been tested."
Who or what is INT?,,11 INT.
What is the main point about INT?,,11 INT.
Who or what is CHANCERY (MARINE POST?,,CHANCERY (MARINE POST ONE) - MORNING 11 Six MARINES watch images from closed-circuit television cameras on chunky 1970's monitors.
When did the events related to 11 Six occur?,,CHANCERY (MARINE POST ONE) - MORNING 11 Six MARINES watch images from closed-circuit television cameras on chunky 1970's monitors.
Who or what is MARINES?,,CHANCERY (MARINE POST ONE) - MORNING 11 Six MARINES watch images from closed-circuit television cameras on chunky 1970's monitors.
When did the events related to 1970 occur?,,(MARINE POST ONE) - MORNING 11 Six MARINES watch images from closed-circuit television cameras on chunky 1970's monitors.
What is the main point about CHANCERY?,,CHANCERY (MARINE POST ONE) - MORNING 11 Six MARINES watch images from closed-circuit television cameras on chunky 1970's monitors.
What is the main point about Crowds?,,Crowds of protestors from every part of the embassy campus.
Who or what is AL GOLACINSKI?,,"AL GOLACINSKI, 30, chief of security for the embassy, shouts into a radio."
When did the events related to 30 occur?,,"AL GOLACINSKI, 30, chief of security for the embassy, shouts into a radio."
What is the main point about AL?,,"AL GOLACINSKI, 30, chief of security for the embassy, shouts into a radio."
Who or what is EXT?,,(CONTINUED) ARGO - Final 4. 11 CONTINUED: 11 AL GOLACINSKI Marines to Number One -- FALL BACK -- 12 EXT.
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 4. 11 CONTINUED: 11 AL GOLACINSKI Marines to Number One -- FALL BACK -- 12 EXT.
